it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	l_32	l_33	l_34	l_35	l_36	l_37	l_38	l_39	l_40	l_41	l_42	l_43	l_44	l_45	l_46	l_47	l_48	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	m_32	m_33	m_34	m_35	m_36	m_37	m_38	m_39	m_40	m_41	m_42	m_43	m_44	m_45	m_46	m_47	m_48	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	
0	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.10206046772666343	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	0.17705191051547636	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937	-0.074991442788812937
1000	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.1612090239115333	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	0.16597515495036738	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816	-0.0047661310388340816
2000	0.33601462682357985	0.33601462682357985	0.33601462682357985	0.33601462682357985	0.33601462682357985	0.33601462682357985	0.089460223507941097	0.089460223507941097	0.089460223507941097	0.089460223507941097	0.089460223507941097	0.089460223507941097	0.089460223507941097	0.089460223507941097	0.089460223507941097	0.089460223507941097	0.089460223507941097	0.089460223507941097	0.089460223507941097	0.089460223507941097	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.18541455335826623	0.35327894421845857	0.35327894421845857	0.35327894421845857	0.35327894421845857	0.35327894421845857	0.35327894421845857	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	0.10142536678865201	-0.017264317394878714	-0.017264317394878714	-0.017264317394878714	-0.017264317394878714	-0.017264317394878714	-0.017264317394878714	-0.01196514328071091	-0.01196514328071091	-0.01196514328071091	-0.01196514328071091	-0.01196514328071091	-0.01196514328071091	-0.01196514328071091	-0.01196514328071091	-0.01196514328071091	-0.01196514328071091	-0.01196514328071091	-0.01196514328071091	-0.01196514328071091	-0.01196514328071091	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224	0.083989186569614224
3000	0.34804220457473556	0.34804220457473556	0.34804220457473556	0.34804220457473556	0.34804220457473556	0.34804220457473556	0.09210119895561858	0.09210119895561858	0.09210119895561858	0.09210119895561858	0.09210119895561858	0.09210119895561858	0.09210119895561858	0.09210119895561858	0.09210119895561858	0.09210119895561858	0.09210119895561858	0.09210119895561858	0.09210119895561858	0.09210119895561858	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.23830797850776081	0.41295168354591433	0.41295168354591433	0.41295168354591433	0.41295168354591433	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.12270064501663311	0.13147741394449727	0.13147741394449727	0.13147741394449727	0.13147741394449727	0.13147741394449727	0.13147741394449727	0.13147741394449727	0.13147741394449727	0.13147741394449727	0.13147741394449727	0.13147741394449727	0.13147741394449727	0.13147741394449727	0.13147741394449727	0.13147741394449727	0.13147741394449727	0.13147741394449727	0.13147741394449727	-0.064909478971178769	-0.064909478971178769	-0.064909478971178769	-0.064909478971178769	0.22534155955810245	0.22534155955810245	-0.030599446061014529	-0.030599446061014529	-0.030599446061014529	-0.030599446061014529	-0.030599446061014529	-0.030599446061014529	-0.030599446061014529	-0.030599446061014529	-0.030599446061014529	-0.030599446061014529	-0.030599446061014529	-0.030599446061014529	-0.030599446061014529	-0.030599446061014529	0.1156073334911277	0.1156073334911277	0.1156073334911277	0.1156073334911277	0.1156073334911277	0.1156073334911277	0.1156073334911277	0.1156073334911277	0.1156073334911277	0.1156073334911277	0.1156073334911277	0.10683056456326354	0.10683056456326354	0.10683056456326354	0.10683056456326354	0.10683056456326354	0.10683056456326354	0.10683056456326354	0.10683056456326354	0.10683056456326354	0.10683056456326354	0.10683056456326354	0.10683056456326354	0.10683056456326354	0.10683056456326354	0.10683056456326354	0.10683056456326354	0.10683056456326354	0.10683056456326354
4000	0.23591855467889186	0.23591855467889186	0.23591855467889186	0.23591855467889186	0.23591855467889186	0.23591855467889186	0.071162275083633972	0.071162275083633972	0.071162275083633972	0.071162275083633972	0.071162275083633972	0.071162275083633972	0.071162275083633972	0.071162275083633972	0.071162275083633972	0.071162275083633972	0.071162275083633972	0.071162275083633972	0.071162275083633972	0.071162275083633972	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.2343718589529096	0.67783198373738884	0.67783198373738884	0.12714059595469646	0.12714059595469646	0.12714059595469646	0.12714059595469646	0.12714059595469646	0.12714059595469646	0.12714059595469646	0.12714059595469646	0.12714059595469646	0.093767157202899104	0.093767157202899104	0.093767157202899104	0.093767157202899104	0.093767157202899104	0.093767157202899104	0.093767157202899104	0.093767157202899104	0.093767157202899104	0.1692199361172943	0.1692199361172943	0.1692199361172943	0.1692199361172943	0.1692199361172943	0.1692199361172943	0.1692199361172943	0.1692199361172943	0.1692199361172943	0.1692199361172943	0.1692199361172943	0.17033376328530861	0.17033376328530861	0.17033376328530861	0.17033376328530861	0.17033376328530861	0.17033376328530861	0.17033376328530861	0.17033376328530861	0.17033376328530861	0.17033376328530861	0.17033376328530861	0.17033376328530861	0.17033376328530861	0.17033376328530861	0.17033376328530861	0.17033376328530861	0.17033376328530861	0.17033376328530861	-0.44191342905849695	-0.44191342905849695	0.10877795872419541	0.10877795872419541	0.10877795872419541	0.10877795872419541	-0.055978320871062484	-0.055978320871062484	-0.055978320871062484	-0.055978320871062484	-0.055978320871062484	-0.022604882119265132	-0.022604882119265132	-0.022604882119265132	-0.022604882119265132	-0.022604882119265132	-0.022604882119265132	-0.022604882119265132	-0.022604882119265132	-0.022604882119265132	0.0651519228356153	0.0651519228356153	0.0651519228356153	0.0651519228356153	0.0651519228356153	0.0651519228356153	0.0651519228356153	0.0651519228356153	0.0651519228356153	0.0651519228356153	0.0651519228356153	0.064038095667600992	0.064038095667600992	0.064038095667600992	0.064038095667600992	0.064038095667600992	0.064038095667600992	0.064038095667600992	0.064038095667600992	0.064038095667600992	0.064038095667600992	0.064038095667600992	0.064038095667600992	0.064038095667600992	0.064038095667600992	0.064038095667600992	0.064038095667600992	0.064038095667600992	0.064038095667600992
5000	0.2666210157334668	0.2666210157334668	0.2666210157334668	0.2666210157334668	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.12433130485173977	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.44164440313697134	0.80843538080842181	0.80843538080842181	0.15937981560193104	0.15937981560193104	0.15937981560193104	0.15937981560193104	0.15937981560193104	0.15937981560193104	0.15937981560193104	0.15937981560193104	0.15937981560193104	0.15937981560193104	0.15937981560193104	0.15937981560193104	0.13437840610404142	0.13437840610404142	0.13437840610404142	0.13437840610404142	0.13437840610404142	0.13437840610404142	0.13437840610404142	0.13437840610404142	0.13437840610404142	0.13437840610404142	0.13437840610404142	0.13437840610404142	0.13437840610404142	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	0.090944708912014935	-0.54181436507495495	-0.54181436507495495	0.10724120013153576	0.10724120013153576	-0.035048510750191275	-0.035048510750191275	-0.035048510750191275	-0.035048510750191275	-0.035048510750191275	-0.035048510750191275	-0.035048510750191275	-0.035048510750191275	-0.035048510750191275	-0.035048510750191275	-0.010047101252301655	-0.010047101252301655	-0.010047101252301655	-0.010047101252301655	-0.010047101252301655	-0.010047101252301655	-0.010047101252301655	-0.010047101252301655	-0.010047101252301655	-0.010047101252301655	-0.010047101252301655	-0.010047101252301655	-0.010047101252301655	0.033386595939724831	0.033386595939724831	0.033386595939724831	0.033386595939724831	0.35069969422495639	0.35069969422495639	0.35069969422495639	0.35069969422495639	0.35069969422495639	0.35069969422495639	0.35069969422495639	0.35069969422495639	0.35069969422495639	0.35069969422495639	0.35069969422495639	0.35069969422495639	0.35069969422495639	0.35069969422495639	0.35069969422495639	0.35069969422495639	0.35069969422495639	0.35069969422495639
6000	0.30646687864034206	0.30646687864034206	0.30646687864034206	0.30646687864034206	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.11795839280545241	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	0.29200494683711531	1.0642445175475306	1.0642445175475306	0.11692366524173764	0.11692366524173764	0.11692366524173764	0.11692366524173764	0.11692366524173764	0.11692366524173764	0.11692366524173764	0.11692366524173764	0.11692366524173764	0.11692366524173764	0.11692366524173764	0.11692366524173764	0.11692366524173764	0.10292550545866597	0.10292550545866597	0.10292550545866597	0.10292550545866597	0.10292550545866597	0.10292550545866597	0.10292550545866597	0.10292550545866597	0.10292550545866597	0.10292550545866597	0.10292550545866597	0.10292550545866597	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	0.086574709070511235	-0.75777763890718852	-0.75777763890718852	0.18954321339860442	0.18954321339860442	0.0010347275637147685	0.0010347275637147685	0.0010347275637147685	0.0010347275637147685	0.0010347275637147685	0.0010347275637147685	0.0010347275637147685	0.0010347275637147685	0.0010347275637147685	0.0010347275637147685	0.0010347275637147685	0.015032887346786442	0.015032887346786442	0.015032887346786442	0.015032887346786442	0.015032887346786442	0.015032887346786442	0.015032887346786442	0.015032887346786442	0.015032887346786442	0.015032887346786442	0.015032887346786442	0.015032887346786442	0.031383683734941173	0.031383683734941173	0.031383683734941173	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407	0.20543023776660407
7000	0.35695259950444702	0.35695259950444702	0.35695259950444702	0.35695259950444702	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.1062091511655575	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.22606194025872112	0.90203119420042754	0.90203119420042754	0.13209598597400871	0.13209598597400871	0.13209598597400871	0.13209598597400871	0.13209598597400871	0.13209598597400871	0.13209598597400871	0.13209598597400871	0.13209598597400871	0.13209598597400871	0.13209598597400871	0.13209598597400871	0.11060419402373112	0.11060419402373112	0.11060419402373112	0.11060419402373112	0.11060419402373112	0.11060419402373112	0.11060419402373112	0.11060419402373112	0.11060419402373112	0.11060419402373112	0.11060419402373112	0.081600894717125255	0.081600894717125255	0.081600894717125255	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	0.085988568735344897	-0.54507859469598052	-0.54507859469598052	0.22485661353043832	0.22485661353043832	-0.025886834808451206	-0.025886834808451206	-0.025886834808451206	-0.025886834808451206	-0.025886834808451206	-0.025886834808451206	-0.025886834808451206	-0.025886834808451206	-0.025886834808451206	-0.025886834808451206	-0.0043950428581736173	-0.0043950428581736173	-0.0043950428581736173	-0.0043950428581736173	-0.0043950428581736173	-0.0043950428581736173	-0.0043950428581736173	-0.0043950428581736173	-0.0043950428581736173	-0.0043950428581736173	-0.0043950428581736173	0.024608256448432245	0.024608256448432245	0.024608256448432245	0.020220582430212602	0.020220582430212602	0.020220582430212602	0.14007337152337623	0.14007337152337623	0.14007337152337623	0.14007337152337623	0.14007337152337623	0.14007337152337623	0.14007337152337623	0.14007337152337623	0.14007337152337623	0.14007337152337623	0.14007337152337623	0.14007337152337623	0.14007337152337623	0.14007337152337623	0.14007337152337623	0.14007337152337623	0.14007337152337623	0.14007337152337623
